model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWK2,T(Android 13),2023-11-28,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWJ5,T(Android 13),2023-10-26,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWI3,T(Android 13),2023-09-26,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU7EWH7,T(Android 13),2023-09-13,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWH5,T(Android 13),2023-08-30,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWG1,T(Android 13),2023-07-19,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU6EWF2,T(Android 13),2023-06-22,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS6EWE3,T(Android 13),2023-05-30,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU5EWD2,T(Android 13),2023-05-09,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS4EWC1,T(Android 13),2023-03-27,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU4EWBD,T(Android 13),2023-03-01,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3DWA5,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3DVL1,T(Android 13),2022-12-30,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS3DVK6,T(Android 13),2022-11-30,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3DVK4,T(Android 13),2022-11-29,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS3CVI5,S(Android 12),2022-10-25,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVH7,S(Android 12),2022-09-28,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVG7,S(Android 12),2022-08-12,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVG2,S(Android 12),2022-07-27,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU2CVF1,S(Android 12),2022-06-23,2022-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU2CVDA,S(Android 12),2022-05-18,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS2CVC8,S(Android 12),2022-04-28,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU1CVC5,S(Android 12),2022-03-29,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS1BVB8,S(Android 12),2022-03-04,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU1BUL5,S(Android 12),2022-01-14,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS9FXE2,U(Android 14),2024-05-28,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU8FXD3,U(Android 14),2024-05-17,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS8FXD1,U(Android 14),2024-04-17,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7FXC2,U(Android 14),2024-03-20,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7FXA6,U(Android 14),2024-02-22,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7FWL6,U(Android 14),2024-01-16,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU7FWK6,U(Android 14),2023-12-20,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWK2,T(Android 13),2023-11-20,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWJ5,T(Android 13),2023-10-26,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWI3,T(Android 13),2023-09-26,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU7EWH7,T(Android 13),2023-09-13,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWH5,T(Android 13),2023-08-28,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS7EWG1,T(Android 13),2023-07-19,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU6EWF2,T(Android 13),2023-06-22,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS6EWE3,T(Android 13),2023-05-29,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU5EWD2,T(Android 13),2023-04-27,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS4EWC1,T(Android 13),2023-03-27,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU4EWBD,T(Android 13),2023-03-01,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3DWA5,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3DVL1,T(Android 13),2022-12-28,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS3DVK6,T(Android 13),2022-11-30,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3DVK4,T(Android 13),2022-11-28,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS3CVI5,S(Android 12),2022-10-25,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVH7,S(Android 12),2022-09-28,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVG7,S(Android 12),2022-08-12,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU3CVG2,S(Android 12),2022-07-26,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU2CVF1,S(Android 12),2022-06-21,2022-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU2CVDA,S(Android 12),2022-05-18,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS2CVC8,S(Android 12),2022-04-28,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU1CVC5,S(Android 12),2022-04-12,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXS1BVB8,S(Android 12),2022-03-04,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XME,021193220114,SM-G990E/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,G990EXXU1BUL5,S(Android 12),2022-01-14,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021193220114/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU8FXD3,U(Android 14),2024-05-23,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS8FXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7FXC2,U(Android 14),2024-03-27,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7FXA6,U(Android 14),2024-02-27,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7FWL6,U(Android 14),2024-01-29,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU7FWK6,U(Android 14),2024-01-15,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7EWK2,T(Android 13),2023-11-22,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7EWJ5,T(Android 13),2023-11-03,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7EWI3,T(Android 13),2023-10-16,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU7EWH7,T(Android 13),2023-10-10,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7EWH5,T(Android 13),2023-08-28,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS7EWG1,T(Android 13),2023-08-03,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU6EWF2,T(Android 13),2023-07-26,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS6EWE3,T(Android 13),2023-06-02,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU5EWD2,T(Android 13),2023-05-16,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS4EWC6,T(Android 13),2023-03-31,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU4EWBF,T(Android 13),2023-03-22,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3DWA5,T(Android 13),2023-01-30,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3DVL1,T(Android 13),2023-01-17,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3DVK5,T(Android 13),2022-12-22,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS3CVI5,S(Android 12),2022-10-25,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3CVH7,S(Android 12),2022-10-13,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3CVG7,S(Android 12),2022-08-19,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU3CVG2,S(Android 12),2022-08-12,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU2CVDA,S(Android 12),2022-06-10,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS2CVC8,S(Android 12),2022-05-03,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU1CVC5,S(Android 12),2022-04-14,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXS1BVB8,S(Android 12),2022-03-11,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSA,021604220221,SM-G990E/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,G990EXXU1BUL5,S(Android 12),2022-02-21,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021604220221/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS9FXE2,U(Android 14),2024-05-29,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXU8FXD3,U(Android 14),2024-05-16,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS8FXD1,U(Android 14),2024-04-19,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7FXC2,U(Android 14),2024-03-25,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7FXA6,U(Android 14),2024-02-23,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7FWL6,U(Android 14),2024-01-19,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXU7FWK6,U(Android 14),2023-12-19,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7EWK2,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7EWJ5,T(Android 13),2023-11-02,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
SM-G990E,XSG,021440220204,SM-G990E/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,G990EXXS7EWI3,T(Android 13),2023-10-26,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021440220204/eng.html
