model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVF9,S(Android 12),2022-07-06,2022-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVF1,S(Android 12),2022-06-23,2022-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS2AVDD,S(Android 12),2022-05-06,2022-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVCJ,S(Android 12),2022-04-07,2022-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVC9,S(Android 12),2022-03-24,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFA,021876220308,SM-S901E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVBF,S(Android 12),2022-03-07,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021876220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS9EXE4,U(Android 14),2024-05-29,2024-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU8EXE1,U(Android 14),2024-05-21,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS8DXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS7DXC2,U(Android 14),2024-03-20,2024-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS7DXB8,U(Android 14),2024-03-07,2024-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS7DXA3,U(Android 14),2024-02-07,2024-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU7DWL1,U(Android 14),2024-01-26,2023-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS7CWI1,T(Android 13),2023-10-17,2023-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS7CWH6,T(Android 13),2023-09-18,2023-09-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU6CWH3,T(Android 13),2023-08-22,2023-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS6CWF6,T(Android 13),2023-07-17,2023-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU5CWEC,T(Android 13),2023-06-20,2023-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS4CWD4,T(Android 13),2023-05-12,2023-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU4CWCE,T(Android 13),2023-04-12,2023-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS3CWB5,T(Android 13),2023-03-17,2023-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU3CWAI,T(Android 13),2023-02-22,2023-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS2BWA2,T(Android 13),2023-01-25,2023-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2BVKM,T(Android 13),2022-12-15,2022-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2BVKB,T(Android 13),2022-12-05,2022-11-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2BVJA,T(Android 13),2022-11-02,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS2AVI7,S(Android 12),2022-09-30,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS2AVHD,S(Android 12),2022-09-13,2022-09-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVH9,S(Android 12),2022-09-02,2022-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVG6,S(Android 12),2022-08-05,2022-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVF9,S(Android 12),2022-07-06,2022-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU2AVF1,S(Android 12),2022-06-23,2022-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXS2AVDD,S(Android 12),2022-05-06,2022-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVCJ,S(Android 12),2022-04-07,2022-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVC9,S(Android 12),2022-03-24,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFE,021887220308,SM-S901E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,S901EXXU1AVBF,S(Android 12),2022-03-07,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021887220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS9EXE4,U(Android 14),2024-05-29,2024-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU8EXE1,U(Android 14),2024-05-21,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS8DXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS7DXC2,U(Android 14),2024-03-20,2024-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS7DXB8,U(Android 14),2024-03-07,2024-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS7DXA3,U(Android 14),2024-02-07,2024-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU7DWL1,U(Android 14),2024-01-26,2023-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS7CWI1,T(Android 13),2023-10-17,2023-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS7CWH6,T(Android 13),2023-09-18,2023-09-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU6CWH3,T(Android 13),2023-08-22,2023-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS6CWF6,T(Android 13),2023-07-17,2023-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU5CWEC,T(Android 13),2023-06-20,2023-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS4CWD4,T(Android 13),2023-05-12,2023-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU4CWCE,T(Android 13),2023-04-12,2023-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS3CWB5,T(Android 13),2023-03-17,2023-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU3CWAI,T(Android 13),2023-02-22,2023-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS2BWA2,T(Android 13),2023-01-25,2023-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2BVKM,T(Android 13),2022-12-15,2022-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2BVKB,T(Android 13),2022-12-05,2022-11-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2BVJA,T(Android 13),2022-11-02,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS2AVI7,S(Android 12),2022-09-30,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS2AVHD,S(Android 12),2022-09-13,2022-09-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2AVH9,S(Android 12),2022-09-02,2022-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2AVG6,S(Android 12),2022-08-05,2022-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2AVF9,S(Android 12),2022-07-06,2022-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU2AVF1,S(Android 12),2022-06-23,2022-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXS2AVDD,S(Android 12),2022-05-06,2022-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU1AVCJ,S(Android 12),2022-04-07,2022-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU1AVC9,S(Android 12),2022-03-24,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XFV,021873220308,SM-S901E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,S901EXXU1AVBF,S(Android 12),2022-03-07,2022-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021873220308/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS9EXE4,U(Android 14),2024-05-28,2024-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU8EXE1,U(Android 14),2024-05-17,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS8DXD1,U(Android 14),2024-04-12,2024-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7DXC1,U(Android 14),2024-03-18,2024-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7DXB7,U(Android 14),2024-02-27,2024-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7DXA2,U(Android 14),2024-01-18,2024-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7DWL1,U(Android 14),2024-01-03,2023-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU7DWK4,U(Android 14),2023-11-30,2023-11-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7CWI1,T(Android 13),2023-10-12,2023-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS7CWH6,T(Android 13),2023-09-15,2023-09-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU6CWH3,T(Android 13),2023-08-16,2023-08-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS6CWF6,T(Android 13),2023-07-12,2023-07-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU5CWEC,T(Android 13),2023-06-14,2023-06-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS4CWD4,T(Android 13),2023-05-10,2023-05-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU4CWCE,T(Android 13),2023-05-03,2023-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU4CWCE,T(Android 13),2023-04-12,2023-04-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS3CWB5,T(Android 13),2023-03-13,2023-03-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU3CWAI,T(Android 13),2023-02-14,2023-02-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS2BWA2,T(Android 13),2023-01-13,2023-01-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU2BVKM,T(Android 13),2022-12-14,2022-12-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU2BVKB,T(Android 13),2022-11-23,2022-11-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXU2BVJA,T(Android 13),2022-10-31,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
SM-S901E,XID,021817220307,SM-S901E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,S901EXXS2AVI7,S(Android 12),2022-09-30,2022-10-01,Galaxy S22 ,https://doc.samsungmobile.com/SM-S901E/021817220307/eng.html
